repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,response_time_hours,review_time_hours,lines_of_code,changed_files,reviewers,url
kubernetes/kubernetes,130058,gjkim42,2025-02-10T06:03:32Z,2025-02-12T21:16:29Z,2025-02-12T21:16:29Z,4,10.726111111111111,63.215833333333336,488,5,"SergeyKanzhelev, gjkim42, toVersus, Jefftree",https://api.github.com/repos/kubernetes/kubernetes/pulls/130058
kubernetes/kubernetes,130056,saku3,2025-02-10T01:18:54Z,2025-02-10T10:43:56Z,2025-02-10T10:43:56Z,1,1.7113888888888888,9.417222222222222,36,2,sanposhiho,https://api.github.com/repos/kubernetes/kubernetes/pulls/130056
kubernetes/kubernetes,130054,mattmattox,2025-02-09T16:46:39Z,,2025-02-15T15:09:17Z,0,,142.37722222222223,34,6,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130054
kubernetes/kubernetes,130053,iholder101,2025-02-09T15:55:37Z,2025-02-12T20:02:28Z,2025-02-12T20:02:28Z,6,25.674444444444443,76.11416666666666,11,1,"iholder101, kannon92, SergeyKanzhelev",https://api.github.com/repos/kubernetes/kubernetes/pulls/130053
kubernetes/kubernetes,130049,aojea,2025-02-08T15:33:11Z,2025-02-11T11:32:00Z,2025-02-11T11:32:01Z,6,0.9586111111111111,67.98027777777777,68,14,"chansuke, liggitt, aojea",https://api.github.com/repos/kubernetes/kubernetes/pulls/130049
kubernetes/kubernetes,130045,carlory,2025-02-08T07:05:00Z,2025-02-11T09:21:57Z,2025-02-11T09:21:58Z,10,1.8044444444444445,74.2825,33,5,"neolit123, chansuke, carlory",https://api.github.com/repos/kubernetes/kubernetes/pulls/130045
kubernetes/kubernetes,130044,yongruilin,2025-02-08T03:35:33Z,,2025-02-11T17:02:59Z,0,,85.45722222222223,16,8,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130044
kubernetes/kubernetes,130041,cpanato,2025-02-07T20:27:01Z,2025-02-08T00:15:56Z,2025-02-08T00:15:56Z,0,,3.8152777777777778,240,1,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130041
kubernetes/kubernetes,130040,HirazawaUi,2025-02-07T14:04:45Z,2025-02-11T15:47:59Z,2025-02-11T15:47:59Z,15,0.4913888888888889,97.72055555555555,110,5,"HirazawaUi, pacoxu, neolit123",https://api.github.com/repos/kubernetes/kubernetes/pulls/130040
kubernetes/kubernetes,130039,p0lyn0mial,2025-02-07T13:40:43Z,2025-02-12T23:16:27Z,2025-02-12T23:16:27Z,2,94.68916666666667,129.59555555555556,72,1,"p0lyn0mial, sttts",https://api.github.com/repos/kubernetes/kubernetes/pulls/130039
kubernetes/kubernetes,130038,jsafrane,2025-02-07T13:38:04Z,2025-02-11T21:39:59Z,2025-02-11T21:39:59Z,0,,104.03194444444445,50,1,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130038
kubernetes/kubernetes,130032,aroradaman,2025-02-07T09:58:04Z,2025-02-07T13:55:55Z,2025-02-07T13:55:55Z,1,0.6280555555555556,3.964166666666667,905,35,BenTheElder,https://api.github.com/repos/kubernetes/kubernetes/pulls/130032
kubernetes/kubernetes,130031,HirazawaUi,2025-02-07T09:26:42Z,,2025-02-10T13:19:46Z,0,,75.88444444444444,127,6,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130031
kubernetes/kubernetes,130030,7sunarni,2025-02-07T09:19:12Z,,2025-02-10T17:21:42Z,0,,80.04166666666667,26,2,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130030
kubernetes/kubernetes,130027,carlory,2025-02-07T07:17:28Z,,2025-02-07T07:21:07Z,0,,0.060833333333333336,3,1,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130027
kubernetes/kubernetes,130026,carlory,2025-02-07T07:06:16Z,2025-02-07T20:03:57Z,2025-02-07T20:03:57Z,0,,12.961388888888889,22,1,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130026
kubernetes/kubernetes,130024,sivchari,2025-02-07T06:41:59Z,2025-02-12T23:16:20Z,2025-02-12T23:16:20Z,4,134.0536111111111,136.5725,16,1,"SergeyKanzhelev, sivchari, pohly",https://api.github.com/repos/kubernetes/kubernetes/pulls/130024
kubernetes/kubernetes,130023,SataQiu,2025-02-07T05:29:45Z,2025-02-11T06:39:57Z,2025-02-11T06:39:57Z,9,3.1425,97.17,98,14,"neolit123, pacoxu, HirazawaUi, SataQiu",https://api.github.com/repos/kubernetes/kubernetes/pulls/130023
kubernetes/kubernetes,130017,aramase,2025-02-06T20:15:57Z,2025-02-06T22:40:07Z,2025-02-06T22:40:07Z,0,,2.4027777777777777,9,2,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130017
kubernetes/kubernetes,130015,aramase,2025-02-06T19:56:09Z,2025-02-07T09:11:56Z,2025-02-07T09:11:56Z,2,0.23694444444444446,13.263055555555555,4,2,"saschagrunert, liggitt",https://api.github.com/repos/kubernetes/kubernetes/pulls/130015
kubernetes/kubernetes,130014,tallclair,2025-02-06T19:23:19Z,2025-02-07T07:49:55Z,2025-02-07T07:49:55Z,1,12.395,12.443333333333333,22,1,saschagrunert,https://api.github.com/repos/kubernetes/kubernetes/pulls/130014
kubernetes/kubernetes,130012,tallclair,2025-02-06T19:12:04Z,2025-02-07T07:49:55Z,2025-02-07T07:49:55Z,1,12.583333333333334,12.630833333333333,22,1,saschagrunert,https://api.github.com/repos/kubernetes/kubernetes/pulls/130012
kubernetes/kubernetes,130011,tallclair,2025-02-06T19:10:49Z,2025-02-07T08:37:55Z,2025-02-07T08:37:55Z,2,12.605277777777777,13.451666666666666,22,1,saschagrunert,https://api.github.com/repos/kubernetes/kubernetes/pulls/130011
kubernetes/kubernetes,130010,tallclair,2025-02-06T18:57:51Z,2025-02-07T07:47:56Z,2025-02-07T07:47:56Z,1,12.8225,12.834722222222222,22,1,saschagrunert,https://api.github.com/repos/kubernetes/kubernetes/pulls/130010
kubernetes/kubernetes,130009,kannon92,2025-02-06T18:04:32Z,2025-02-12T18:48:20Z,2025-02-12T18:48:20Z,12,12.640277777777778,144.73,28,1,"tallclair, kannon92, pohly",https://api.github.com/repos/kubernetes/kubernetes/pulls/130009
kubernetes/kubernetes,130003,xigang,2025-02-06T11:41:42Z,,2025-02-06T13:20:32Z,3,0.6669444444444445,1.6472222222222221,6,1,"xigang, aojea",https://api.github.com/repos/kubernetes/kubernetes/pulls/130003
kubernetes/kubernetes,129999,pohly,2025-02-06T10:46:22Z,2025-02-06T11:59:55Z,2025-02-06T11:59:55Z,0,,1.2258333333333333,2,1,,https://api.github.com/repos/kubernetes/kubernetes/pulls/129999
kubernetes/kubernetes,129997,carlory,2025-02-06T07:33:56Z,2025-02-17T12:08:23Z,2025-02-17T12:08:23Z,3,11.482777777777779,268.57416666666666,167,1,"jsafrane, deepakkinni, carlory",https://api.github.com/repos/kubernetes/kubernetes/pulls/129997
kubernetes/kubernetes,129996,yongruilin,2025-02-05T23:47:59Z,2025-02-16T21:56:23Z,2025-02-16T21:56:23Z,6,47.64527777777778,262.14,48,8,"richabanker, yongruilin",https://api.github.com/repos/kubernetes/kubernetes/pulls/129996
kubernetes/kubernetes,129993,aramase,2025-02-05T20:10:48Z,2025-02-06T22:39:55Z,2025-02-06T22:39:55Z,7,7.828611111111111,26.485277777777778,189,3,"aramase, liggitt, carlory",https://api.github.com/repos/kubernetes/kubernetes/pulls/129993
