repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,reviewers,reviewer_response_times,response_time_hours,review_time_hours,lines_of_code,changed_files,url
Homebrew/brew,18945,daeho-ro,2024-12-16T22:59:45Z,2024-12-17T12:13:57Z,2024-12-17T12:13:57Z,1,MikeMcQuaid,13.00,12.996944444444445,13.236666666666666,14,1,https://api.github.com/repos/Homebrew/brew/pulls/18945
Homebrew/brew,18942,cho-m,2024-12-15T16:22:00Z,2024-12-16T12:23:51Z,2024-12-16T12:23:51Z,1,MikeMcQuaid,19.82,19.819444444444443,20.030833333333334,24,2,https://api.github.com/repos/Homebrew/brew/pulls/18942
Homebrew/brew,18937,p-linnane,2024-12-14T18:37:51Z,2024-12-14T19:23:43Z,2024-12-14T19:23:43Z,1,dduugg,0.47,0.4686111111111111,0.7644444444444445,1,1,https://api.github.com/repos/Homebrew/brew/pulls/18937
Homebrew/brew,18935,p-linnane,2024-12-14T05:07:40Z,2024-12-14T13:12:30Z,2024-12-14T13:12:30Z,1,carlocab,2.74,2.738888888888889,8.080555555555556,6,2,https://api.github.com/repos/Homebrew/brew/pulls/18935
Homebrew/brew,18933,cho-m,2024-12-14T03:48:46Z,2024-12-14T08:43:17Z,2024-12-14T08:43:17Z,3,"p-linnane, carlocab, MikeMcQuaid","0.25, 3.77, 52.38",0.25222222222222224,4.908611111111111,6,1,https://api.github.com/repos/Homebrew/brew/pulls/18933
Homebrew/brew,18929,p-linnane,2024-12-13T05:29:58Z,2024-12-13T08:28:32Z,2024-12-13T08:28:32Z,2,"ZhongRuoyu, MikeMcQuaid","2.10, 0.66",2.0980555555555553,2.976111111111111,56,10,https://api.github.com/repos/Homebrew/brew/pulls/18929
Homebrew/brew,18928,BrewTestBot,2024-12-13T04:34:44Z,2024-12-13T04:58:54Z,2024-12-13T04:58:54Z,1,ZhongRuoyu,0.04,0.03666666666666667,0.4027777777777778,4,1,https://api.github.com/repos/Homebrew/brew/pulls/18928
Homebrew/brew,18927,carlocab,2024-12-12T22:22:33Z,2024-12-13T06:49:27Z,2024-12-13T06:49:27Z,2,"p-linnane, ZhongRuoyu","4.04, 0.81",4.043888888888889,8.448333333333334,6,1,https://api.github.com/repos/Homebrew/brew/pulls/18927
Homebrew/brew,18917,apainintheneck,2024-12-12T07:32:27Z,2024-12-12T08:48:47Z,2024-12-12T08:48:47Z,2,"MikeMcQuaid, dduugg","1.03, 8.91",1.0272222222222223,1.2722222222222221,29,3,https://api.github.com/repos/Homebrew/brew/pulls/18917
Homebrew/brew,18914,dduugg,2024-12-11T19:04:00Z,2024-12-11T19:45:45Z,2024-12-11T19:45:45Z,1,MikeMcQuaid,0.37,0.37194444444444447,0.6958333333333333,29,5,https://api.github.com/repos/Homebrew/brew/pulls/18914
Homebrew/brew,18913,ZhongRuoyu,2024-12-11T03:05:25Z,2024-12-11T09:25:01Z,2024-12-11T09:25:01Z,1,carlocab,5.29,5.292777777777777,6.326666666666667,36,2,https://api.github.com/repos/Homebrew/brew/pulls/18913
Homebrew/brew,18912,MikeMcQuaid,2024-12-10T17:19:57Z,2024-12-10T17:45:13Z,2024-12-10T17:45:13Z,2,"carlocab, julianandresr199","0.07, 72.44",0.06583333333333333,0.4211111111111111,14,4,https://api.github.com/repos/Homebrew/brew/pulls/18912
Homebrew/brew,18910,chenrui333,2024-12-10T14:29:18Z,2024-12-10T15:25:24Z,2024-12-10T15:25:24Z,1,MikeMcQuaid,0.73,0.7341666666666666,0.935,4,1,https://api.github.com/repos/Homebrew/brew/pulls/18910
Homebrew/brew,18909,Bo98,2024-12-10T05:27:12Z,2024-12-10T09:20:47Z,2024-12-10T09:20:48Z,2,"carlocab, MikeMcQuaid","1.13, 2.56",1.1258333333333332,3.8930555555555557,47,3,https://api.github.com/repos/Homebrew/brew/pulls/18909
Homebrew/brew,18904,apainintheneck,2024-12-08T23:57:26Z,2024-12-09T09:11:15Z,2024-12-09T09:11:15Z,1,MikeMcQuaid,9.20,9.203611111111112,9.230277777777777,8,1,https://api.github.com/repos/Homebrew/brew/pulls/18904
Homebrew/brew,18903,samford,2024-12-08T19:30:23Z,2024-12-09T09:11:29Z,2024-12-09T09:11:29Z,1,MikeMcQuaid,13.65,13.645277777777778,13.685,51,4,https://api.github.com/repos/Homebrew/brew/pulls/18903
Homebrew/brew,18902,dduugg,2024-12-07T21:31:27Z,2024-12-08T16:40:04Z,2024-12-08T16:40:04Z,2,"apainintheneck, carlocab","6.68, 7.90",6.6786111111111115,19.14361111111111,153,3,https://api.github.com/repos/Homebrew/brew/pulls/18902
